nqueens;mode_var_heuristic;mode_val_heuristic;forward_checking;arc_consistency;time_limit (s);convergence_time (s);n_nodes_open;termination_status;solution_found
1.0;1.0;1.0;1.0;1.0;200;2.312660217285156e-05;1;True;True
1.0;1.0;2.0;1.0;1.0;200;3.075599670410156e-05;1;True;True
1.0;2.0;1.0;1.0;1.0;200;4.649162292480469e-05;1;True;True
1.0;2.0;2.0;1.0;1.0;200;2.646446228027344e-05;1;True;True
1.0;3.0;1.0;1.0;1.0;200;2.384185791015625e-05;1;True;True
1.0;3.0;2.0;1.0;1.0;200;2.8848648071289062e-05;1;True;True
1.0;4.0;1.0;1.0;1.0;200;2.264976501464844e-05;1;True;True
1.0;4.0;2.0;1.0;1.0;200;3.123283386230469e-05;1;True;True
2.0;1.0;1.0;1.0;1.0;200;5.0067901611328125e-06;0;True;False
2.0;1.0;2.0;1.0;1.0;200;4.529953002929688e-06;0;True;False
2.0;2.0;1.0;1.0;1.0;200;7.62939453125e-06;0;True;False
2.0;2.0;2.0;1.0;1.0;200;7.867813110351562e-06;0;True;False
2.0;3.0;1.0;1.0;1.0;200;6.67572021484375e-06;0;True;False
2.0;3.0;2.0;1.0;1.0;200;7.390975952148436e-06;0;True;False
2.0;4.0;1.0;1.0;1.0;200;9.298324584960938e-06;0;True;False
2.0;4.0;2.0;1.0;1.0;200;9.298324584960938e-06;0;True;False
3.0;1.0;1.0;1.0;1.0;200;4.529953002929688e-06;0;True;False
3.0;1.0;2.0;1.0;1.0;200;5.0067901611328125e-06;0;True;False
3.0;2.0;1.0;1.0;1.0;200;8.58306884765625e-06;0;True;False
3.0;2.0;2.0;1.0;1.0;200;8.344650268554688e-06;0;True;False
3.0;3.0;1.0;1.0;1.0;200;6.67572021484375e-06;0;True;False
3.0;3.0;2.0;1.0;1.0;200;7.152557373046875e-06;0;True;False
3.0;4.0;1.0;1.0;1.0;200;1.3828277587890625e-05;0;True;False
3.0;4.0;2.0;1.0;1.0;200;1.2636184692382812e-05;0;True;False
4.0;1.0;1.0;1.0;1.0;200;0.0003390312194824219;10;True;True
4.0;1.0;2.0;1.0;1.0;200;0.0003657341003417969;9;True;True
4.0;2.0;1.0;1.0;1.0;200;0.00029587745666503906;10;True;True
4.0;2.0;2.0;1.0;1.0;200;0.00033402442932128906;9;True;True
4.0;3.0;1.0;1.0;1.0;200;0.00029587745666503906;10;True;True
4.0;3.0;2.0;1.0;1.0;200;0.00036072731018066406;9;True;True
4.0;4.0;1.0;1.0;1.0;200;0.0003204345703125;10;True;True
4.0;4.0;2.0;1.0;1.0;200;0.0003688335418701172;9;True;True
5.0;1.0;1.0;1.0;1.0;200;0.00026369094848632807;6;True;True
5.0;1.0;2.0;1.0;1.0;200;0.0003542900085449219;7;True;True
5.0;2.0;1.0;1.0;1.0;200;0.00022721290588378906;5;True;True
5.0;2.0;2.0;1.0;1.0;200;0.0004220008850097656;7;True;True
5.0;3.0;1.0;1.0;1.0;200;0.0002510547637939453;6;True;True
5.0;3.0;2.0;1.0;1.0;200;0.0004620552062988281;7;True;True
5.0;4.0;1.0;1.0;1.0;200;0.0002968311309814453;6;True;True
5.0;4.0;2.0;1.0;1.0;200;0.0008480548858642577;7;True;True
6.0;1.0;1.0;1.0;1.0;200;0.001727581024169922;36;True;True
6.0;1.0;2.0;1.0;1.0;200;0.003148317337036133;42;True;True
6.0;2.0;1.0;1.0;1.0;200;0.001458883285522461;27;True;True
6.0;2.0;2.0;1.0;1.0;200;0.002175569534301758;33;True;True
6.0;3.0;1.0;1.0;1.0;200;0.0018475055694580078;36;True;True
6.0;3.0;2.0;1.0;1.0;200;0.00256037712097168;42;True;True
6.0;4.0;1.0;1.0;1.0;200;0.002094268798828125;36;True;True
6.0;4.0;2.0;1.0;1.0;200;0.002678394317626953;42;True;True
7.0;1.0;1.0;1.0;1.0;200;0.0006909370422363281;10;True;True
7.0;1.0;2.0;1.0;1.0;200;0.0026111602783203125;30;True;True
7.0;2.0;1.0;1.0;1.0;200;0.0010941028594970703;15;True;True
7.0;2.0;2.0;1.0;1.0;200;0.00160980224609375;17;True;True
7.0;3.0;1.0;1.0;1.0;200;0.0007128715515136719;10;True;True
7.0;3.0;2.0;1.0;1.0;200;0.0025610923767089844;30;True;True
7.0;4.0;1.0;1.0;1.0;200;0.0015740394592285154;10;True;True
7.0;4.0;2.0;1.0;1.0;200;0.002972841262817383;30;True;True
8.0;1.0;1.0;1.0;1.0;200;0.01052999496459961;124;True;True
8.0;1.0;2.0;1.0;1.0;200;0.014832258224487303;140;True;True
8.0;2.0;1.0;1.0;1.0;200;0.008637189865112305;87;True;True
8.0;2.0;2.0;1.0;1.0;200;0.013302326202392578;129;True;True
8.0;3.0;1.0;1.0;1.0;200;0.013011693954467772;124;True;True
8.0;3.0;2.0;1.0;1.0;200;0.01641225814819336;140;True;True
8.0;4.0;1.0;1.0;1.0;200;0.013886690139770508;124;True;True
8.0;4.0;2.0;1.0;1.0;200;0.015576124191284181;140;True;True
9.0;1.0;1.0;1.0;1.0;200;0.004439115524291992;43;True;True
9.0;1.0;2.0;1.0;1.0;200;0.022574186325073242;148;True;True
9.0;2.0;1.0;1.0;1.0;200;0.0011582374572753904;9;True;True
9.0;2.0;2.0;1.0;1.0;200;0.017131805419921875;113;True;True
9.0;3.0;1.0;1.0;1.0;200;0.006271839141845703;43;True;True
9.0;3.0;2.0;1.0;1.0;200;0.023799896240234368;148;True;True
9.0;4.0;1.0;1.0;1.0;200;0.007326841354370117;43;True;True
9.0;4.0;2.0;1.0;1.0;200;0.02363824844360352;148;True;True
10.0;1.0;1.0;1.0;1.0;200;0.016732215881347656;112;True;True
10.0;1.0;2.0;1.0;1.0;200;0.04311823844909668;187;True;True
10.0;2.0;1.0;1.0;1.0;200;0.015551328659057615;111;True;True
10.0;2.0;2.0;1.0;1.0;200;0.027222394943237305;124;True;True
10.0;3.0;1.0;1.0;1.0;200;0.016382217407226562;112;True;True
10.0;3.0;2.0;1.0;1.0;200;0.03747224807739258;187;True;True
10.0;4.0;1.0;1.0;1.0;200;0.01757669448852539;112;True;True
10.0;4.0;2.0;1.0;1.0;200;0.04032778739929199;187;True;True
11.0;1.0;1.0;1.0;1.0;200;0.010574102401733398;58;True;True
11.0;1.0;2.0;1.0;1.0;200;0.06511974334716797;254;True;True
11.0;2.0;1.0;1.0;1.0;200;0.0363161563873291;173;True;True
11.0;2.0;2.0;1.0;1.0;200;0.03418231010437012;108;True;True
11.0;3.0;1.0;1.0;1.0;200;0.010245323181152344;58;True;True
11.0;3.0;2.0;1.0;1.0;200;0.0692586898803711;254;True;True
11.0;4.0;1.0;1.0;1.0;200;0.012791156768798828;58;True;True
11.0;4.0;2.0;1.0;1.0;200;0.07687759399414062;254;True;True
12.0;1.0;1.0;1.0;1.0;200;0.07868528366088867;306;True;True
12.0;1.0;2.0;1.0;1.0;200;0.05605173110961914;162;True;True
12.0;2.0;1.0;1.0;1.0;200;0.06306219100952147;250;True;True
12.0;2.0;2.0;1.0;1.0;200;0.020867586135864258;58;True;True
12.0;3.0;1.0;1.0;1.0;200;0.0712132453918457;306;True;True
12.0;3.0;2.0;1.0;1.0;200;0.0567927360534668;162;True;True
12.0;4.0;1.0;1.0;1.0;200;0.08030152320861816;306;True;True
12.0;4.0;2.0;1.0;1.0;200;0.05731058120727539;162;True;True
13.0;1.0;1.0;1.0;1.0;200;0.03610038757324219;126;True;True
13.0;1.0;2.0;1.0;1.0;200;0.3309736251831055;815;True;True
13.0;2.0;1.0;1.0;1.0;200;0.01092386245727539;35;True;True
13.0;2.0;2.0;1.0;1.0;200;0.1672666072845459;400;True;True
13.0;3.0;1.0;1.0;1.0;200;0.035974740982055664;126;True;True
13.0;3.0;2.0;1.0;1.0;200;0.328446626663208;815;True;True
13.0;4.0;1.0;1.0;1.0;200;0.04410672187805177;126;True;True
13.0;4.0;2.0;1.0;1.0;200;0.3621025085449219;815;True;True
14.0;1.0;1.0;1.0;1.0;200;0.8275260925292969;2141;True;True
14.0;1.0;2.0;1.0;1.0;200;2.1981220245361333;4197;True;True
